credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,country_France,country_Germany,country_Spain,gender_Female,gender_Male,churn
-1.4746397882845814,0.9609445060604186,-1.3874682031512873,0.2777602795466004,0.8076961608939818,1,1,0.5630019589926081,1,0,0,0,1,1
1.2671186766390967,0.3888515691904904,0.6870954977328143,0.988257132039077,-0.9115378980544682,1,1,1.3435273518506279,0,0,1,0,1,0
-0.6883241530611869,0.6748980376254545,0.3413348809187974,0.17428818837457702,0.8076961608939818,1,0,0.35274658805833603,0,1,0,1,0,1
-0.5124377609717434,0.3888515691904904,-1.0417075863372705,-1.225786377492875,-0.9115378980544682,1,0,-0.8759509336961988,1,0,0,1,0,1
0.2945703909680562,-0.18324136767943774,0.6870954977328143,-0.03567230529506919,-0.9115378980544682,1,0,1.643660756283657,1,0,0,0,1,0
-0.4813989858971357,1.3423397973070375,1.0328561145468313,1.0892738326463316,-0.9115378980544682,1,0,1.58073276136156,1,0,0,0,1,1
1.0084622176840328,2.0097815569886204,-1.7332288199653043,1.215592386670071,-0.9115378980544682,1,0,0.4634474304277427,1,0,0,0,1,1
-0.9883656454490611,0.6748980376254545,-0.3501863527092365,0.7036686953500759,-0.9115378980544682,1,0,1.3498343748342376,0,1,0,1,0,1
-0.34689762724050244,-0.8506831273610206,1.0328561145468313,-1.225786377492875,-0.9115378980544682,1,1,-0.12986047441242612,1,0,0,1,0,0
-1.5677561135084044,1.7237350885536562,-1.3874682031512873,-1.225786377492875,-0.9115378980544682,0,0,0.5439379596025278,1,0,0,1,0,1
0.5946118833559304,1.437688620118692,1.0328561145468313,1.100454586040436,-0.9115378980544682,0,1,0.43854484431116153,0,1,0,1,0,1
0.07729896544580248,-0.37393901330274715,1.3786167313608482,-0.07462729055632598,-0.9115378980544682,1,1,-0.5555215807707831,0,0,1,0,1,0
0.5739193666395253,1.7237350885536562,0.6870954977328143,-1.225786377492875,-0.9115378980544682,1,0,-1.4284189867993153,0,0,1,0,1,1
-0.026163618136223112,0.3888515691904904,-1.3874682031512873,0.5044679439777621,-0.9115378980544682,0,0,1.5014411438396198,0,1,0,1,0,1
-0.8435180284342253,-1.04138077298433,-0.6959469695232534,0.3773655432565303,-0.9115378980544682,1,0,-1.6506732116155611,0,1,0,1,0,1
-0.7193629281357946,0.3888515691904904,1.3786167313608482,0.024627958598845506,-0.9115378980544682,0,1,-1.2072115274870763,0,0,1,0,1,0
0.9774234426094252,0.4842003920021451,-1.7332288199653043,0.6915723590112209,-0.9115378980544682,1,1,-1.1445765225773141,0,1,0,1,0,1
1.5775064273851735,-0.6599854817377112,1.3786167313608482,1.8532333249581945,-0.9115378980544682,1,1,-0.7965988054773494,1,0,0,1,0,1
-1.3090996545533404,2.391176848235239,-0.0044257358952195435,-1.225786377492875,-0.9115378980544682,1,0,0.6257884145259568,0,0,1,1,0,1
1.825816627982035,-0.37393901330274715,-1.7332288199653043,-1.225786377492875,0.8076961608939818,0,1,1.4679715993149154,0,0,1,1,0,0
-0.5745153111209588,1.2469909744953827,1.3786167313608482,-1.225786377492875,-0.9115378980544682,1,1,0.10868312568303055,1,0,0,0,1,1
-1.2573683627623276,-0.8506831273610206,-1.0417075863372705,0.6379976953027428,-0.9115378980544682,1,0,-0.4313085954527296,1,0,0,0,1,0
-1.0711357123146816,1.0562933288720733,-0.6959469695232534,0.07699247583159961,2.5269302198424315,0,1,1.3503064625989183,0,1,0,0,1,1
0.26353161589344853,2.1051303798002747,1.0328561145468313,-1.225786377492875,0.8076961608939818,1,1,0.32050655829755664,1,0,0,1,0,0
0.004875156938384564,-0.37393901330274715,0.6870954977328143,-0.029847223325377852,2.5269302198424315,1,0,0.5105337944514949,1,0,0,0,1,1
-1.7332962472396454,0.19815392356718103,-1.3874682031512873,0.670677740144122,-0.9115378980544682,0,0,1.096456438286402,0,1,0,0,1,1
-1.1125207457474917,-0.37393901330274715,1.7243773481748652,-0.27368540779231426,-0.9115378980544682,1,0,-0.4054340127967137,0,0,1,0,1,0
0.791190792161779,-0.7553343045493659,-0.6959469695232534,0.100061544093828,0.8076961608939818,1,0,-0.6933992029489473,0,1,0,1,0,0
-0.026163618136223112,0.3888515691904904,0.6870954977328143,0.07480969275659496,-0.9115378980544682,1,1,0.7727739398768567,0,0,1,1,0,1
0.8843071173856021,1.437688620118692,0.6870954977328143,0.5648244602108342,0.8076961608939818,0,1,-0.26377360265514976,1,0,0,0,1,0
-1.0814819706728842,1.8190839113653108,-0.6959469695232534,0.4803472294205129,4.246164278790882,1,0,0.5006326447290452,0,1,0,1,0,1
